Watch Videos
ALL IN with CHRIS HAYESMarch 16, 2018Guest: Felix Sater, Jackie Speier, Natasha Bertrand, James Henry, Evan McMullins, Maria Hinojosa, Eddie Glaude
Name: CHRIS HAYES ( MSNBC HOST) ; Gender: male ; Race:  caucasian ; Dialogue:  As the Mueller investigation officially enters Trump Tower, along-time figure in President Trump`s circle joins me live.
Name: FELIX SATER ( MANAGING DIRECTOR, BAYROCK GROUP LLC) ; Gender: male ; Race:  caucasian ; Dialogue:  I was working on a bunch of real estate transactions with Donald Trump of all people.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  Tonight, my interview with Felix Sater on his time working with Donald Trump, the Russia investigation and his double life as an American spy.
Then, explosive new allegations from the lawyer for Stormy Daniels.
Name: UNIDENTIFIED FEMALE ; Gender: male ; Race:  other,african ; Dialogue:  Was she threatened in any way?
Name: MICHAEL AVENATTI ( LAWYER OF STORMY DANIELS) ; Gender: male ; Race:  caucasian ; Dialogue:  Yes.
Name: UNIDENTIFIED FEMALE ; Gender: male ; Race:  other,african ; Dialogue:  Was she threatened physical harm?
Name: AVENATTI ; Gender: male ; Race:  asianindian,caucasian ; Dialogue:  Yes.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  As the president played reality show with his cabinet –
Name: DONALD TRUMP ( PRESIDENT OF THE UNITED STATES) ; Gender: male ; Race:  caucasian ; Dialogue:  I read where oh, gee, maybe people don`t want to work for Trump.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  The incredible new scandal for his Secretary of Defense Jim Mattis when ALL IN starts right now.
(END VIDEO CLIP)
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  Good evening from New York, I`m Chris Hayes. We have a very big interview for you tonight with one of the most compelling and mysterious figures in the Russia investigation. We learned yesterday of course that Special Counsel Robert Mueller has subpoenaed the Trump Organization which, of course, oversees Donald Trump`s business ventures of for all documents related to Russia and other topics Mueller is investigating. For nearly a decade, a lot of those business ventures involved my next guest Felix Sater. He`s a guy with a colorful past which included spending a year in prison for slashing a man`s face in a bar fight and a stock fraud conviction involving a mafia-linked brokerage firm.
That`s just a tiny part of his story. Sater went on to partner with Trump on a string of projects, that`s Sater at the mic with Trump behind him at the launch the ill-fated Trump Soho in 2007. Last year we learned that Sater who is an American citizen was born in the Soviet Union wrote an e-mail to Trump lawyer Michael Cohen in 2015 vowing to engineer a deal to build a Trump Tower in Moscow writing “our boy can become President of the USA and we can engineer it. I will get all of Putin`s team to buy in on this. I will manage this process.”
Sater added I will get Putin on this program and we will get Donald elected. And now for perhaps the craziest part, what we`re just learning thanks to some great reporting over BuzzFeed, it turns out Felix Sater was also amazingly an intelligence operative for the U.S. government with a resume out of a spy thriller. BuzzFeed confirming this week that Sater obtained five of Osama bin Laden`s personal phone numbers before September 11th, helped flip a Taliban source to get information about al-Qaeda training camps, revealed plans for an attempted assassination of George W. Bush and Colin Powell and went undercover in Cypress and Istanbul to catch Russian and Ukrainian cybercriminals.
When the Senate was considering Loretta Lymph to become Attorney General, she was asked about Sater`s fraud case specifically which has been under seal and which she had overseen as U.S. Attorney. Sater had been convicted of a $40 million scheme but only ended up paying a $25,000 fine. Lynch help explained why. For more than ten years, Sater worked with prosecutors providing information crucial to national security and the conviction of over 20 individuals including those responsible for committing massive financial fraud and members of La Cosa Nostra. Joining me now is Felix Sater. I have never met anyone with that resume.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Thank you for having me on. I appreciate it.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  I mean, here`s my take away from that resume. What kind of man are you, Felix Sater?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  I guess complex, to say the least. You know, I`m an immigrant that came to this country at the age of 7, grew up here, went to school.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  Right.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Went on to work on Wall Street. Had a very successful career on Wall Street as a young man. Unfortunately, one night in a drunken bar brawl, one guy went for a beer bottle, I went for a margarita glass, and that changed the trajectory of my life.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  You did a year for that.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  I went to jail and I did a year for that bar fight. When I came out, I had no money. Young child, had no money and in a moment of weakness, nothing that I`m proud of then or now, or have I ever been, got involved in the stock scam which is the shady side of Wall Street which was something that was devastating to me because I had planned to have a very successful Wall Street career. And I did that for less than two years, left voluntarily on my own, got out of it and – because I just hated it. I despised every day and every minute of it. And when I used to go to sleep, I used to hate it.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  Let me ask you this.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Sure.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  If someone came to me, Chris Hayes, OK, and he said, hey, Chris, you`re in a jam with the law, but if you can do some things, if you can talk to these people, find out some information like for instance who sing at selling stinger missiles in Afghanistan, or what cybercriminals are up to in Ukraine, I would say that sounds great but I have no idea where to start. But you were a person who does know how to start. Like, explain to me that talent. You seem – I`m serious. You seem to be able to find your way towards people like that and get them to trust you.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Well, first, let me clear up a small misconception that`s been reported is that the things that I`ve done in terms of national security in terms of my assistance to the government on financial crimes, whether it was Mafia or whether it was financial assaults on our financial institutions by cybercriminals, or terrorists such as Osama bin Laden, what`s most important and which has not been reported is that I started working for U.S. intelligence way before the stock case came around. So nobody came to me and said go do this for us and then you`ll get out of this.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  OK, but what kind of person does that? Like what – how are you finding your way into these seamy underworlds to get information the U.S. government can find useful.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Well, let me tell you the story how that happened. After I got out of clearly the shady side of Wall Street, for about a year, I was working on very legitimate financial transactions. And I think anybody who researches me could see that I stopped in 1996 voluntarily just left because truthfully, I just didn`t want to do it anymore. It was disgusting, it was despicable and it was garbage. And I`m sorry and I – very sorry that that happened. And I accept full responsibility. It was my fault and people lost money and – because of the things that I did. And if I – if I haven`t yet, anyone that is out there that has caused – that I`ve caused any pain, I apologize too and I`m very sorry for. So in `96, I stopped, I got out of Wall Street but I started working on financial transactions.
Somebody from the British Royal Family Lord Churchill, tells me he has a friend who is doing a telecommunications deal in St. Petersburg, Russia. Russia had just Soviet Union collapsed. It`s now Russia. It`s opened up. It`s the Wild West. He said could you help him? He`s having problems with his telecommunications deal. I said OK, no problem. So I fly over to Russia, I take a look at his deal, I realized that he`s beyond help. There`s to way to help him. His deal is going under. But I realize that there`s a very big opportunity in telecommunications. And I started negotiating with AT&T to rent the Transatlantic Cable. I figured I`ll have a Transatlantic Cable and I can sell phone minutes, phone cards, et cetera, etcetera. Now, telecommunications in the Soviet Union and then in Russia was pretty much controlled by Russian intelligence hard-core.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  So you start talking to those people.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  I started talking to telecommunications executives who clearly were intelligence operatives.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  Are you the kind of guy that knows when you`re talking to an intelligence operative.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  No, but I`m a pretty good judge of character and I sort of you know, figured that they couldn`t be regular joes.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  I ask because that`s a looming – that`s something that looms over this whole story, right? Because it looms over Donald Trump and it looms over his campaign, right? Did they knew who they were talking to? Did they know it was in the other side? So let me ask you this, how did you meet Donald Trump?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  I – we formed a company in 2000 to do real estate development.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  That was in his office?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  No, we were in the building. We were in Trump Tower. We were on the 24th floor. Trump Organization was on the 26th floor. I basically knocked on his door, said I think we should become partners. I have great real estate deals. I`m going to be a very successful developer and you want to work with me.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  It`s a very Trumpian move.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  I don`t know. I think it was a very Felixy move.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  Did you guys get along?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Yes.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  How would you characterize your relationship?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Friendly.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  Talked a lot?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Sometimes a lot, sometimes –
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  When you worked on a deal, talked a lot, talked on the phone, talked in person?
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Mostly in person. I was two doors down. I just go upstairs and speak to him. But to return to your question about how is it that I meet people like that, well, as an example, I was knocking on Donald Trump`s door and saying hi, let`s start working. When I was working on telecommunications deal, I was invited to a dinner party in Moscow. And there was a lot of Russians there and I was there and a guy walks in, an American guy older and somebody says, you guys should – you guys should meet each other. You`re both CIA agents. I thought it was a joke. And all evening long –
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  He`s predicting your future.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  He was – yes, I think so. I think he was. And he`s sitting there and peppering me with questions all night long. I go to the bathroom. He follows me into the bathroom and says can I have your phone number. I said sure. I`d like to talk to you about some business. I said great, no problem. I gave him my phone number. The next day I meet him in an Irish pub in Moscow not far from the Kremlin. His name is Milton Blaine where he proceeds to tell me he`s been a military intelligence operative for the U.S. government for the last 40 years of his life and that the U.S. government desperately needs.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  People like you.
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Well, specifically that the people that I`m sitting with are high-end Russian intelligence operatives and he says Felix, they seem to like having a drink with you. They seem to make jokes with you. He said we`ve been trying to penetrate these people for years. I said, OK. He said, look, your country needs you, the Soviets at that point had developed a KH anti-radar system. He said, basically their planes could fly in and our radar can`t jam them and we need this equipment.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  So let me ask you this. You have a relationship – you speak fluent Russian –
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  Yes I do.
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  – so you can go over and do business. You go back and forth. At one point you go to Moscow in the wake of this case, right? You go to Russia, you end up coming –
Name: SATER ; Gender: male ; Race:  caucasian ; Dialogue:  In the wake of which case?
Name: HAYES ; Gender: male ; Race:  caucasian ; Dialogue:  Of the fraud case. The stock fraud case. You go to Russia –
